Guild,Channel,Author(Global),Author(Display),Author(Nickname),Message
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,wackyflacky,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,kevinkhuu,,!fetch
Test Server,general,,wackyflacky,,!hello
Test Server,general,,wackyflacky,,Na
Test Server,general,,wackyflacky,,!discordle
Test Server,general,,wackyflacky,,!discordle
Test Server,general,,wackyflacky,,nathan
Test Server,general,,wackyflacky,,nathans
Test Server,general,,wackyflacky,,!discordle
Test Server,test2,,wackyflacky,,balls
Test Server,test2,,wackyflacky,,balls
Test Server,test2,,wackyflacky,,"balls2
balls2a
balls2b"
Test Server,test4,,wackyflacky,,ba;;s
Test Server,test4,,wackyflacky,,balls
Test Server,test4,,wackyflacky,,"balls4
balls4a
balls4b"
